Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.04,.06,-.01,-.12,-.24,-.16,.08,-.04,-.14,.00,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.04,-.07,-.01,-.03,.00,.00,.10,.01,.01,-.03,.10,-.04,-.01
1882,.07,.08,.08,-.01,-.04,-.14,-.04,.02,-.03,.04,-.01,-.07,.00,.01,.08,.01,-.05,.00
1883,-.02,-.08,-.08,-.07,-.09,-.01,-.08,-.04,-.09,-.05,-.04,-.06,-.06,-.06,-.06,-.08,-.04,-.06
1884,-.08,-.05,-.09,-.21,-.31,-.28,-.21,-.06,-.10,-.06,-.10,-.15,-.14,-.13,-.06,-.21,-.18,-.08
1885,-.20,-.22,-.29,-.35,-.32,-.42,-.33,-.21,-.18,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.23,-.15,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.26,-.30,-.34,-.27,-.26,-.16,-.29,-.21,-.25,-.23,-.28,-.28,-.36,-.30,-.23,-.25
1888,-.20,-.12,-.20,-.19,-.29,-.31,-.20,-.09,-.04,.07,.07,.15,-.11,-.14,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.12,-.06,-.19,-.16,-.09,-.06,-.04,-.04,-.02,.09,.06,-.13,-.10
1890,-.21,-.32,-.33,-.34,-.43,-.32,-.32,-.38,-.37,-.39,-.25,-.17,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.05,-.13,-.21,-.23,-.37,-.25,-.20,-.12,.00,-.04,-.12,-.15,-.15,-.06,-.19,-.27,-.05
